,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt",
11,Gonzaga,WCC,25-8,123.3035456,12,96.42680415,29,0.94414111,11,25.65279661,8.347203394,14,4,14-4,0.641980448,0.661593735,0.603231035,0.64956626,0.661593735,0.603231035,0.731864197,0.711969052,110.5625481,103.4305393,110.7202002,103.2052567,124.7975519,99.32085796,130.885317,102.8763072,0.940984831,10,-0.067625933,1583,1273,1271.9875,1.244509085,1.000795998,0,0.777777778,2.722112652,33,322,70.14058739
12,Wisconsin,B10,26-9,122.4303506,14,96.11281594,26,0.941762618,12,26.92193223,9.078067767,13,7,13-7,0.733233665,0.500160155,0.827702581,0.728920011,0.500160155,0.827702581,0.650616813,0.807106132,113.1357303,101.2952788,113.104336,101.5088969,123.3439128,95.45567546,134.2424372,103.6854501,0.951213477,14,0.001904779,1589,1430,1376.075,1.154733572,1.039187544,0,0.65,5.940911347,10,171,67.47347734
13,Michigan St.,B10,27-6,116.8331227,37,91.83561523,5,0.940954359,13,27.93840776,6.061592235,17,3,17-3,0.733293682,0.512170091,0.837431944,0.726762453,0.512170091,0.837431944,0.660078522,0.824962294,113.3669205,101.3951596,113.1429701,101.5111901,119.5634297,90.36983013,119.6122213,91.40433009,0.956605772,15,0.070088637,1544,1330,1369.075,1.127768749,0.971458832,0,0.85,7.840298232,8,39,67.85922224
14,BYU,B12,24-9,125.4431965,7,99.0901726,53,0.937728806,14,24.62551441,9.374485594,14,6,14-6,0.702880766,0.385726386,0.851084185,0.70868293,0.385726386,0.851084185,0.643719893,0.890400498,111.4743017,100.9887984,111.6141789,100.8421019,126.7529162,98.34101425,132.658475,107.7833228,0.915910182,12,0.000888473,1580,1461,1375.425,1.148735845,1.062217133,0,0.7,4.772249145,21,175,67.19966417
15,St. John's,BE,30-4,112.5584368,70,89.08933348,2,0.936379106,15,30.90877446,4.091225535,18,2,18-2,0.686457646,0.531054854,0.748025934,0.683883395,0.531054854,0.748025934,0.724557797,0.825810753,111.4525186,102.3755061,111.4727678,102.5481575,110.4710193,88.04568869,121.8228544,96.80896327,0.933579879,10,0.087056093,1496,1297,1406.9,1.063330727,0.921884995,0,0.9,7.847714573,7,23,70.09682494
16,Missouri,SEC,22-11,127.0006868,5,100.8020578,75,0.934434251,16,22.75411892,11.24588108,10,8,8-Oct,0.683459541,0.37796063,0.876696535,0.687561012,0.37796063,0.876696535,0.63676262,0.865409356,112.1500638,102.0026657,112.1614869,101.8986526,129.6109692,99.3194551,134.6775332,106.6155264,0.936256511,17,-0.038299019,1486,1390,1254.7625,1.184287863,1.107779361,0,0.555555556,3.042639011,30,275,68.11172788
17,Kentucky,SEC,22-11,123.8615961,11,98.71417668,49,0.931487492,17,22.87442829,11.12557171,10,8,8-Oct,0.76499018,0.567424468,0.891733451,0.761940339,0.567424468,0.891733451,0.57229989,0.735439605,115.9424347,99.9709944,115.6699493,99.99092035,127.095963,100.5185876,137.4866671,111.413042,0.918208363,21,0.032400185,1503,1460,1294.9875,1.160628964,1.12742401,0,0.555555556,5.552137291,12,102,70.86709738
18,Purdue,B10,22-11,125.0464641,8,100.0030288,68,0.928910743,18,22.8312707,11.1687293,13,7,13-7,0.784890501,0.668627496,0.841253748,0.783164245,0.668627496,0.841253748,0.620012506,0.670654859,114.7683111,100.0803473,114.8547934,100.3172924,126.8425292,98.50177438,141.1839645,115.2508167,0.911650755,15,-0.017408451,1578,1423,1336.6875,1.180530229,1.064571936,0,0.65,4.255773303,23,223,65.04192847
19,Louisville,ACC,27-7,118.3423386,25,94.65936402,16,0.928767755,19,27.62845749,7.371542515,18,2,18-2,0.700084379,0.623203618,0.714007423,0.705372485,0.623203618,0.714007423,0.695585118,0.721068517,112.2134075,102.1079769,112.3596964,101.9975053,121.4993541,93.01913135,139.696667,115.2531975,0.901315973,10,0.03668697,1600,1344,1372.95,1.16537383,0.978914017,0,0.9,5.531648129,13,90,68.80707855
20,Kansas,B12,21-12,116.1097239,43,93.04473756,10,0.927353859,20,21.67223373,12.32776627,11,9,9-Nov,0.783772664,0.645706536,0.851906148,0.786060954,0.645706536,0.851906148,0.582773307,0.680341353,114.9779492,99.08750659,114.8873599,98.98049454,115.6774085,92.42554671,116.1995099,94.86279849,0.911580354,15,-0.005886402,1469,1378,1383.05,1.062145259,0.99634865,0,0.55,4.091234849,25,194,68.29688253
21,Clemson,ACC,27-6,118.3451671,24,94.84972901,17,0.927242565,21,27.76540182,6.234598181,18,2,18-2,0.667152931,0.567816692,0.699417576,0.670947698,0.567816692,0.699417576,0.735181391,0.786251906,110.9683006,102.9391278,111.0402409,102.8745099,121.2435727,95.45516385,123.3501612,99.46692225,0.922357863,7,0.031121681,1514,1290,1299.4625,1.165097107,0.992718143,0,0.9,4.875979899,18,108,64.26135653
22,Texas A&M,SEC,22-10,115.6756945,49,93.12112488,11,0.923736257,22,22.80476414,10.19523586,11,7,7-Nov,0.774776947,0.630308752,0.87480175,0.77390777,0.630308752,0.87480175,0.60509113,0.730957868,114.8385059,99.7914084,114.8102822,99.91032797,116.415229,93.97386973,127.9184703,103.5013673,0.919516464,16,0.033374544,1299,1266,1211.6875,1.072058596,1.044823851,0,0.611111111,5.169738415,17,96,66.08263364
23,Illinois,B10,21-12,122.2073933,15,98.48860035,45,0.922831511,23,21,12,12,8,8-Dec,0.746932869,0.53280058,0.852769227,0.746932869,0.53280058,0.852769227,0.607014955,0.698512896,113.6360025,100.3364061,113.6360025,100.3364061,123.29691,96.94280129,136.8287673,110.0578098,0.924410003,17,-0.021011522,1643,1533,1452.6625,1.131026649,1.055303624,0,0.6,3.361964594,27,231,71.33264472
24,Saint Mary's,WCC,28-5,114.9650704,55,92.78402695,9,0.921656473,24,28.65307984,5.346920158,17,1,17-1,0.599210077,0.578267116,0.605333601,0.606940812,0.578267116,0.605333601,0.774464748,0.816373471,111.0444157,104.9571786,111.2746274,104.8422884,117.5550279,91.59882119,122.0246699,94.42752469,0.95019218,5,0.034527925,1322,1045,1121.1875,1.179106974,0.932047494,0,0.944444444,4.145801009,24,93,61.76739224
25,UCLA,B10,22-10,117.8696819,27,95.26033891,20,0.920496329,25,22.66641717,10.33358283,13,7,13-7,0.693873271,0.429155648,0.827073497,0.698690573,0.429155648,0.827073497,0.652262749,0.790904235,112.3560336,102.1680928,112.6650977,102.2596749,119.8099688,96.32890629,135.6741762,114.6442974,0.874005979,15,-0.007564882,1458,1383,1309.2625,1.113604033,1.056319875,0,0.65,3.25546513,28,200,65.02772642
26,Michigan,B10,25-9,115.1208007,54,94.41608522,15,0.907216433,26,25.6163319,9.383668097,14,6,14-6,0.770712871,0.59028977,0.844775843,0.773232226,0.59028977,0.844775843,0.6261887,0.813319904,113.8839998,99.82914402,113.8725083,99.74797592,113.4648359,96.67244518,120.5161093,98.29353103,0.912455331,17,0.093123714,1495,1502,1414.3125,1.057050687,1.062000088,0,0.7,6.233451927,9,18,69.42183897
27,Baylor,B12,19-14,120.499897,17,99.27555682,58,0.902746375,27,19.53728959,14.46271041,10,10,10-Oct,0.753838372,0.549391407,0.852693976,0.757808244,0.549391407,0.852693976,0.581639091,0.700846074,113.6767785,98.02492091,113.8178298,98.04732171,118.208042,97.69640205,122.4903279,107.7899523,0.813095027,15,-0.012544724,1423,1384,1322.2625,1.076185704,1.046690805,0,0.5,1.951140241,39,211,64.61952368
28,Mississippi,SEC,22-11,117.3925584,31,96.94824535,34,0.90029276,28,22,11,10,8,8-Oct,0.737027811,0.505618687,0.88398549,0.737027811,0.505618687,0.88398549,0.586759361,0.762567566,114.2796009,99.92284058,114.2796009,99.92284058,117.9747387,97.43981739,130.1196312,102.8465413,0.937320288,19,0.079398048,1356,1373,1259.1625,1.076906277,1.090407314,0,0.555555556,4.808460316,20,28,67.97668641
29,VCU,A10,28-6,116.2301276,42,96.00111819,25,0.900154356,29,28.37448559,6.625514406,15,3,15-3,0.523057925,0.394869044,0.583851248,0.534905665,0.394869044,0.583851248,0.827720134,0.876552725,106.5698806,105.0369482,107.1249782,104.862043,119.7508065,98.37841274,143.8335374,123.2982228,0.854654349,2,-0.017716072,1407,1147,1182,1.19035533,0.970389171,0,0.833333333,1.124370474,45,225,66.13428452
30,Georgia,SEC,20-12,115.9227172,46,95.77093134,23,0.89989803,30,20.34720339,12.65279661,8,10,10-Aug,0.700535745,0.430714812,0.886830567,0.707917726,0.430714812,0.886830567,0.613890949,0.848841373,112.9356784,100.9271988,113.2498562,100.7908232,115.4001628,94.12216626,117.6480767,98.54933304,0.884639251,16,0.002981163,1269,1303,1216.8625,1.042845843,1.070786551,0,0.444444444,2.048687565,38,169,66.39369318
31,Marquette,BE,23-10,116.6674072,40,96.53305778,31,0.898309384,31,23.57477551,10.42522449,13,7,13-7,0.717605185,0.620583387,0.751925063,0.722007714,0.620583387,0.751925063,0.655616354,0.671223292,112.1338736,101.0169428,112.1224949,100.8375279,115.907587,96.43081385,134.0732634,110.3539866,0.903694944,13,0.042268275,1488,1361,1347.325,1.104410591,1.010149741,0,0.65,3.614108032,26,77,67.71682148
32,Mississippi St.,SEC,21-12,118.3314691,26,98.7641471,50,0.888814003,32,21.46271041,12.53728959,8,10,10-Aug,0.739027729,0.522497923,0.885146067,0.743842984,0.522497923,0.885146067,0.613096042,0.816945491,114.2241579,101.0848793,114.4087385,101.031664,118.6147676,99.07819437,123.2563804,104.7864778,0.866102794,16,0.040107925,1377,1416,1271.55,1.082930282,1.11360151,0,0.444444444,2.952506277,31,81,67.96260492
33,Creighton,BE,24-10,117.3335187,32,98.24147357,43,0.885168078,33,24.37154251,10.62845749,15,5,15-5,0.711783627,0.607180775,0.753263578,0.717983174,0.607180775,0.753263578,0.676348619,0.742610077,111.4526572,100.6937911,111.6495052,100.5213789,118.0168368,98.38690567,125.1199644,101.7335668,0.915253016,12,0.047790226,1481,1375,1328.3375,1.114927494,1.035128497,0,0.75,3.088751241,29,63,67.13520598
34,West Virginia,B12,19-13,110.0670268,103,92.28312982,7,0.8835642,34,19,13,10,10,10-Oct,0.73652761,0.521729997,0.854361486,0.73652761,0.521729997,0.854361486,0.614537014,0.76368482,112.9818313,99.67563825,112.9818313,99.67563825,110.1625858,92.21355226,126.2337319,106.4659589,0.87637745,14,0.007421945,1269,1305,1283.6625,0.988577605,1.01662236,0,0.5,1.466202114,41,157,64.17967245
35,Connecticut,BE,23-10,121.5951138,16,102.009988,92,0.882849948,35,23.56122361,10.43877639,14,6,14-6,0.678638235,0.50880423,0.753499316,0.683822436,0.50880423,0.753499316,0.696361971,0.780247389,110.9733369,102.5778857,111.170385,102.5272186,121.7750848,102.1627033,127.6164766,103.468977,0.917753885,11,0.027807146,1500,1404,1307.7625,1.146997257,1.073589432,0,0.7,2.208007522,36,113,63.78198446
36,North Carolina,ACC,22-13,118.8314464,21,99.81081092,65,0.881419335,36,22.58815128,13.41184872,13,7,13-7,0.710499439,0.673354503,0.717830849,0.714064415,0.673354503,0.717830849,0.648049072,0.614844223,113.2313588,100.8919339,113.1107232,100.7098687,118.2696558,100.155118,135.956936,118.6838628,0.826720492,11,0.008857264,1556,1468,1382.8,1.12525311,1.061614116,0,0.65,1.447875322,42,152,70.56181813
37,Xavier,BE,21-11,116.2562778,41,97.78887418,38,0.879673477,37,21.55864295,11.44135705,13,7,13-7,0.66778875,0.490407946,0.753822161,0.673383546,0.490407946,0.753822161,0.708765626,0.81499547,110.184911,101.9575251,110.3816241,101.9034838,116.940858,97.07898929,128.7510491,112.4078188,0.826510091,10,-0.021782529,1534,1444,1396.0375,1.098824351,1.034356169,0,0.65,0.347668591,49,233,69.01540347
38,Colorado St.,MWC,25-9,116.8791327,34,98.599852,46,0.876078972,38,25.63002112,9.369978879,16,4,16-4,0.622332853,0.556225261,0.631429618,0.627577263,0.556225261,0.631429618,0.768658649,0.812582387,109.1088849,103.2616113,109.1820379,103.1303586,119.7513252,99.84105743,121.1848033,107.1161109,0.805203213,8,0.000597126,1525,1318,1308.5125,1.165445496,1.007250599,0,0.8,0.892205315,47,176,66.01237359
39,Oregon,B10,24-9,115.1322521,53,97.25465901,37,0.874419018,39,24.5864177,9.413582299,12,8,8-Dec,0.753289371,0.583826207,0.833192732,0.755569613,0.583826207,0.833192732,0.640213369,0.766764037,113.7710266,100.7372682,113.7427063,100.6634999,115.328113,100.0467524,130.3346629,112.1254599,0.849489288,13,0.134043226,1484,1488,1374.825,1.079410107,1.082319568,0,0.6,5.312404748,16,6,67.65180464
40,New Mexico,MWC,26-7,111.746998,87,94.9168353,18,0.867291163,40,26.42522449,7.574775506,17,3,17-3,0.610652791,0.557379891,0.632321073,0.619113279,0.557379891,0.632321073,0.755894569,0.76869015,108.8608873,102.4271393,109.0974485,102.2485308,111.5685257,94.41296092,121.2739421,98.63290342,0.915013094,8,0.071487849,1588,1383,1451.0875,1.09435165,0.953078295,0,0.85,2.777967943,32,38,73.07361985
41,Ohio St.,B10,17-15,116.8224704,38,99.52845997,61,0.863236522,41,17,15,9,11,11-Sep,0.739250206,0.549618017,0.841123728,0.739250206,0.549618017,0.841123728,0.63043741,0.739077187,113.8502947,100.9026262,113.8502947,100.9026262,116.3191033,99.86432245,124.1863599,107.567027,0.839187567,14,-0.038665105,1515,1517,1395.9375,1.085292142,1.086724871,0,0.45,-0.977839676,59,277,66.99928902
42,Vanderbilt,SEC,20-12,118.6414004,22,101.1658008,84,0.862055056,42,20.34692016,12.65307984,8,10,10-Aug,0.687725971,0.385354916,0.896955563,0.694814774,0.385354916,0.896955563,0.633879451,0.900946903,112.5441063,101.7678974,112.6174688,101.4956589,120.0565684,101.6065365,125.0737048,106.0268312,0.869883227,15,0.04090581,1351,1455,1255.4375,1.076118883,1.15895853,0,0.444444444,1.492771886,40,80,69.56603496
43,Arkansas,SEC,20-13,111.8979132,83,95.44909686,22,0.861574541,43,20.32776627,13.67223373,8,10,10-Aug,0.710790438,0.455794214,0.881808346,0.717159951,0.455794214,0.881808346,0.627895659,0.836427949,113.6850934,101.8024413,113.756406,101.5448617,111.684827,95.54870947,119.4380999,100.9680886,0.873462658,17,0.032138852,1303,1346,1260.825,1.03345032,1.067554974,0,0.444444444,1.240310059,43,105,69.26290326
44,Cincinnati,B12,18-15,111.5714683,90,95.34694276,21,0.85901653,44,18.77627892,15.22372108,7,13,13-Jul,0.714513857,0.429865062,0.859436341,0.712238573,0.429865062,0.859436341,0.651826422,0.85408134,112.0030903,100.7577165,111.9232566,100.8550455,110.0377998,96.19851163,116.3326598,103.476692,0.793595447,13,-0.033216861,1311,1381,1309.5875,1.001078584,1.05453053,0,0.35,-1.027495196,60,263,65.24147453
45,UC San Diego,BW,30-4,113.4817968,64,96.98826051,35,0.858890315,45,30.3836681,4.616331903,18,2,18-2,0.41723115,0.380960352,0.41672342,0.431230729,0.380960352,0.41672342,0.874437725,0.87211274,105.1126177,107.5828087,105.4158959,107.1838171,115.9760877,97.2888178,103.2255793,89.50577186,0.837542566,2,0.033038392,1606,1243,1339.175,1.199245804,0.928183396,0,0.9,1.162435747,44,98,65.78121708
46,Oklahoma,SEC,20-13,117.6729725,30,100.8552043,77,0.854901091,46,20.43877639,13.56122361,6,12,12-Jun,0.713084119,0.440672822,0.88731354,0.718077232,0.440672822,0.88731354,0.603848546,0.816320507,113.4205222,101.072305,113.6609514,101.0998839,116.6851251,101.0322743,130.2198942,109.8278195,0.876378383,19,0.067713661,1357,1432,1267.1625,1.07089659,1.130083947,0,0.333333333,2.121801274,37,43,68.42749629
47,SMU,ACC,23-10,116.8400303,35,100.2780362,70,0.852943825,47,23.86148751,10.13851249,13,7,13-7,0.628585453,0.442464258,0.715021077,0.626481452,0.442464258,0.715021077,0.774224117,0.876063434,109.8697721,103.846138,109.7898472,103.8811901,118.5202394,101.307768,129.5088497,125.8907418,0.580749366,6,-0.004645962,1547,1445,1355.1375,1.141581574,1.066312459,0,0.65,-0.358438517,57,188,68.83146787
48,Utah St.,MWC,26-7,122.5551482,13,105.1903015,148,0.85284422,48,26.33358283,7.666417172,15,5,15-5,0.595581256,0.490914027,0.633783305,0.605137581,0.490914027,0.633783305,0.766785972,0.826927227,108.1544603,102.7500957,108.4488609,102.5231334,124.3893096,108.1172733,118.0402333,109.8792263,0.695064131,6,0.075734402,1573,1447,1320.875,1.190877259,1.095485947,0,0.75,2.304199508,34,31,67.62987927
49,Texas,SEC,19-15,116.6764429,39,100.1741609,69,0.852417029,49,19.44135705,15.55864295,6,12,12-Jun,0.709155339,0.404062409,0.895316375,0.714027286,0.404062409,0.895316375,0.625495943,0.877776895,112.3897887,101.8347591,112.5002598,101.7191624,115.5926933,100.8071184,126.1465127,107.9289293,0.857376327,18,0.008285562,1324,1406,1256.4125,1.053794037,1.119059226,0,0.333333333,0.036870958,53,153,67.28329272
50,Boise St.,MWC,24-10,115.4118323,52,99.12092413,54,0.851941789,50,24.7701386,10.2298614,14,6,14-6,0.611005034,0.501315656,0.63387451,0.611604972,0.501315656,0.63387451,0.76533673,0.817488793,108.7629515,102.4606722,108.7296841,102.4673393,117.437739,100.4480914,121.4616691,109.4352704,0.76835631,8,0.011652611,1480,1325,1300.425,1.138089471,1.018897668,0,0.7,0.147562259,52,143,65.24984628
51,Santa Clara,WCC,20-12,115.7408649,47,99.74156847,64,0.846949002,51,20.90192203,12.09807797,12,6,6-Dec,0.595791197,0.603354975,0.600299419,0.591311745,0.603354975,0.600299419,0.792609025,0.823842696,109.6066647,104.7572376,109.571275,104.929031,117.7871251,99.48922376,119.0828498,103.6016455,0.832236574,4,-0.094083049,1493,1306,1277.2625,1.168906157,1.02249929,0,0.666666667,-3.420018353,81,346,68.89914408
52,Villanova,BE,19-14,118.6020134,23,102.47141,95,0.843060817,52,19.65056639,14.34943361,11,9,9-Nov,0.638357497,0.422860907,0.757528893,0.641424154,0.422860907,0.757528893,0.727596552,0.847972116,109.7798105,102.8416739,109.7420526,102.7270834,119.9546619,102.3065129,133.8079463,110.5525018,0.899846706,9,-0.069484008,1428,1369,1268.4375,1.125794531,1.079280611,0,0.55,-2.906234986,75,325,63.09642784
53,San Diego St.,MWC,21-9,108.888479,121,94.33758814,14,0.838838599,53,21.41184872,9.588151277,14,6,14-6,0.64254387,0.635603599,0.635197096,0.65024953,0.635603599,0.635197096,0.726772693,0.692714634,110.6546593,102.1318413,110.9272189,102.0544737,108.0792806,94.33394029,133.6676745,115.6849993,0.840450737,9,0.054635542,1406,1277,1337.8,1.05097922,0.95455225,0,0.7,0.914900918,46,53,65.79352804
54,Northwestern,B10,17-16,113.2582411,66,98.13229674,41,0.838697817,54,17,16,7,13,13-Jul,0.725973258,0.479012401,0.851572732,0.725973258,0.479012401,0.851572732,0.666173964,0.877828878,113.0200994,101.3876951,113.0200994,101.3876951,114.1961099,99.60958573,120.7208683,105.0254597,0.832255773,12,-0.053375373,1434,1464,1347.5375,1.064163335,1.086426166,0,0.35,-2.639285576,73,305,64.92961833
55,Indiana,B10,19-13,112.4187182,74,97.8394434,39,0.831651956,55,19,13,10,10,10-Oct,0.741306725,0.536010549,0.847564007,0.741306725,0.536010549,0.847564007,0.655976477,0.823760247,113.7698526,101.2441923,113.7698526,101.2441923,113.8149198,99.16279357,117.9943204,106.4711872,0.765264824,14,0.045181611,1457,1476,1367.4,1.065525815,1.079420799,0,0.5,0.296939398,50,68,67.96054219
56,Liberty,CUSA,28-6,112.8081349,68,98.22914583,42,0.830817628,56,28.4135823,6.586417701,13,5,13-5,0.467918203,0.341639463,0.541117212,0.479532512,0.341639463,0.541117212,0.868745793,0.899016918,104.9787702,105.4262207,105.2960665,105.1708594,110.3914742,96.62724306,0,0,0,0,0.01729298,1304,1176,1213.9625,1.074168271,0.968728441,0,0.722222222,-0.318059251,56,134,65.36858382
57,Kansas St.,B12,16-17,109.7649114,108,95.92326183,24,0.824929985,57,16,17,9,11,11-Sep,0.734633346,0.489029,0.858464738,0.734633346,0.489029,0.858464738,0.633430586,0.822802658,111.5573332,100.2906862,111.5573332,100.2906862,110.477641,94.31431599,115.0665077,99.58406309,0.84048534,12,-0.032760422,1351,1380,1349.6125,1.001028073,1.022515722,0,0.45,-2.537783222,71,260,67.02978547
58,Drake,MVC,30-3,112.5384486,72,98.46622122,44,0.822909564,58,30.24588108,3.754118917,17,3,17-3,0.459436053,0.380704729,0.481763402,0.473406588,0.380704729,0.481763402,0.866857822,0.874203986,106.8529459,107.2029028,107.4825628,107.0028764,113.853304,100.4609732,122.889807,94.4948565,0.953537832,2,0.101769543,1369,1208,1199.425,1.141380245,1.007149259,0,0.85,2.297254384,35,16,58.59922792
59,USC,B10,16-17,116.8385809,36,102.7517846,105,0.814192672,59,16.77469882,17.22530118,7,13,13-Jul,0.718027355,0.475518504,0.837850884,0.713388829,0.475518504,0.837850884,0.67549578,0.867161919,112.7736671,101.3897177,112.6438524,101.5282368,118.8513521,103.3192303,125.3574946,115.9707577,0.709933837,14,-0.061056468,1521,1566,1385.3625,1.097907587,1.13039006,0,0.35,-3.835490071,86,317,68.17417205
60,Memphis,Amer,29-5,111.6692387,88,98.66776436,47,0.805887196,60,29.36997888,5.630021121,16,2,16-2,0.628360839,0.786615917,0.519370368,0.6354385,0.786615917,0.519370368,0.763885901,0.607719171,111.0537073,104.4150689,111.220148,104.2489199,110.4622713,98.29454562,171.2413053,138.3284912,0.920896351,7,0.205082477,1452,1279,1293.375,1.122644245,0.988885667,0,0.888888889,4.854867818,19,1,70.65407671
61,San Francisco,WCC,24-9,110.9823317,94,98.11883951,40,0.804821134,61,24.80985578,9.190144224,13,5,13-5,0.562891554,0.467222066,0.605816783,0.562990908,0.467222066,0.605816783,0.784061331,0.857546362,109.6254342,105.2918903,109.5029672,105.22741,112.1307847,101.4473056,116.1574092,106.6816696,0.726833182,7,0.053509494,1359,1298,1233.1125,1.102089225,1.052620908,0,0.722222222,-0.024918047,54,54,67.7094488
62,Nebraska,B10,17-14,111.8569445,85,99.22577041,57,0.79866391,62,17.51093064,14.48906936,7,13,13-Jul,0.705046595,0.447208687,0.846857445,0.707749523,0.447208687,0.846857445,0.663153487,0.842104936,112.8453989,101.8762074,112.8567229,101.8427838,112.1894614,102.1754832,113.6988766,99.05916407,0.829927942,13,0.024413282,1464,1570,1400.1625,1.045592922,1.121298421,0,0.35,-1.439476193,61,119,67.45341512
