team,HomeRecord,HomeMargin,AwayRecord,AwayMargin,TrueHomeCourtAdvantage
Sacramento St.,28-39,-2.07,10-60,-11.7,4.82
Minnesota,41-31,3.07,18-57,-6.49,4.78
North Dakota St.,51-15,12.24,35-34,2.68,4.78
UTEP,54-16,7.96,29-38,-1.58,4.77
Buffalo,47-23,6.17,24-44,-3.32,4.75
Providence,37-36,1.38,20-54,-8.11,4.75
Arkansas St.,52-22,6.2,24-52,-3.28,4.74
Tennessee,55-16,8.59,33-36,-0.88,4.74
Ohio,52-16,8.15,32-39,-1.32,4.74
Utah St.,58-11,10.23,34-34,0.79,4.72
Dayton,50-18,6.53,23-46,-2.9,4.72
Marquette,57-18,8.07,36-38,-1.28,4.68
Nicholls St.,41-26,2.84,23-47,-6.49,4.67
Fort Wayne,44-24,3.43,23-43,-5.86,4.65
Louisiana Lafayette,51-24,4.73,26-50,-4.53,4.63
High Point,48-21,5.51,27-43,-3.69,4.6
Portland St.,48-21,6.88,28-47,-2.29,4.59
Idaho St.,39-31,1.89,16-54,-7.26,4.58
Purdue,54-20,6.85,33-40,-2.22,4.54
BYU,62-9,13.25,43-26,4.19,4.53
Montana St.,43-28,1.7,22-50,-7.35,4.53
Eastern Michigan,44-26,3.04,21-49,-5.99,4.52
Fresno St.,37-28,1.75,13-55,-7.22,4.49
Marist,40-32,0.78,17-59,-8.17,4.48
Drake,43-31,2,20-50,-6.89,4.45
Washington,55-21,6.78,31-43,-2.09,4.44
Wichita St.,60-19,9.97,37-35,1.11,4.43
Stetson,39-35,-0.36,20-56,-9.22,4.43
West Virginia,49-26,6.57,30-43,-2.29,4.43
Mississippi,53-18,4.58,21-50,-4.28,4.43
Morehead St.,59-17,7.61,34-40,-1.24,4.43
Indiana,44-30,2.93,21-52,-5.9,4.42
Texas Tech,28-39,-3.66,11-61,-12.43,4.39
Michigan St.,65-12,9.86,40-36,1.12,4.37
Mercer,59-21,7.4,34-42,-1.32,4.36
New Mexico,54-13,10.87,40-29,2.22,4.33
Georgia,40-28,2.25,18-52,-6.33,4.29
Southeastern Louisiana,44-23,3.81,22-44,-4.74,4.28
Ohio St.,68-10,10.96,42-32,2.46,4.25
North Carolina,60-16,10.68,43-24,2.27,4.21
Weber St.,73-7,11.54,42-27,3.17,4.19
San Diego St.,63-9,10.03,35-31,1.68,4.18
Saint Louis,49-19,6.59,32-34,-1.74,4.17
LSU,39-28,0.99,19-53,-7.29,4.14
Howard,28-40,-2.16,13-59,-10.42,4.13
Lafayette,34-27,2.49,23-47,-5.77,4.13
Illinois Chicago,31-41,-0.99,12-61,-9.24,4.13
Wright St.,58-17,6.81,35-39,-1.38,4.1
Butler,63-15,10.5,48-29,2.32,4.09
Stanford,50-26,5.07,26-50,-3.09,4.08
Old Dominion,57-19,8.84,41-33,0.7,4.07
Florida Gulf Coast,41-28,2.65,24-44,-5.49,4.07
Miami FL,44-27,4.09,23-48,-4.02,4.06
Southern Utah,36-35,-0.59,15-62,-8.68,4.05
Jacksonville,55-19,5.45,31-46,-2.62,4.04
UCLA,62-15,9.35,43-32,1.29,4.03
Northern Arizona,43-27,3.49,23-48,-4.55,4.02
VCU,70-10,12.44,46-27,4.42,4.01
Arizona St.,42-32,2.03,22-53,-5.99,4.01
Chattanooga,50-26,2.59,24-49,-5.38,3.99
San Jose St.,21-43,-4.19,11-57,-12.16,3.99
Creighton,66-13,9.24,39-35,1.31,3.97
Boston College,37-31,0.56,18-51,-7.36,3.96
Saint Joseph's,41-26,4.16,29-41,-3.76,3.96
Northern Colorado,44-24,4.57,26-47,-3.34,3.96
South Carolina St.,34-38,0.49,20-50,-7.39,3.94
Eastern Washington,42-27,2.7,17-52,-5.17,3.94
Rutgers,25-48,-4.45,11-63,-12.31,3.93
Michigan,53-25,4.38,29-43,-3.47,3.93
UNC Wilmington,30-42,-2.5,15-59,-10.35,3.93
Tulsa,52-18,7.16,35-33,-0.68,3.92
Delaware,47-30,1.53,27-47,-6.27,3.9
Charlotte,36-30,1.2,18-50,-6.59,3.9
Montana,64-14,9.37,41-28,1.59,3.89
Northern Iowa,52-21,6.4,34-39,-1.37,3.89
Belmont,73-7,15.99,54-19,8.22,3.89
Virginia Tech,38-30,1,20-50,-6.76,3.88
Western Michigan,56-18,7.24,27-40,-0.51,3.88
Connecticut,51-24,7.39,39-40,-0.32,3.86
Winthrop,55-17,7.72,35-40,0.01,3.86
Washington St.,37-36,2.22,25-50,-5.48,3.85
Florida St.,45-23,3.85,33-38,-3.85,3.85
Baylor,44-26,4.59,27-46,-3.07,3.83
Georgia St.,44-31,3.83,27-49,-3.79,3.81
Florida,64-11,10.69,37-31,3.1,3.8
Middle Tennessee,59-18,10.01,45-27,2.44,3.79
UC Davis,24-33,-2.07,13-46,-9.63,3.78
Cleveland St.,52-23,5.52,31-42,-2.04,3.78
North Carolina A&T,42-28,3.41,27-46,-4.14,3.78
Tulane,31-35,-0.74,16-54,-8.29,3.78
Appalachian St.,50-25,6.05,36-41,-1.49,3.77
Portland,33-32,0.74,16-43,-6.78,3.76
Kent St.,56-14,8.27,34-34,0.76,3.76
Furman,34-38,-0.93,19-60,-8.42,3.75
American,53-15,7.84,32-29,0.38,3.73
Norfolk St.,56-18,6.84,41-31,-0.6,3.72
Duke,62-11,11.74,41-26,4.34,3.7
Penn St.,32-42,-2.04,15-61,-9.41,3.69
USC Upstate,38-29,2.97,20-46,-4.39,3.68
Massachusetts,45-21,5.29,31-39,-2.07,3.68
St. Francis PA,30-41,-1.82,15-61,-9.17,3.68
Cincinnati,46-30,2.74,30-45,-4.6,3.67
East Tennessee St.,58-22,7.99,46-33,0.66,3.67
Lamar,32-33,1.43,23-46,-5.9,3.67
UNC Asheville,56-21,7.13,38-32,-0.19,3.66
Kennesaw St.,27-47,-4.59,10-63,-11.89,3.65
TCU,24-40,-5.28,7-65,-12.58,3.65
Tennessee Martin,28-45,-1.71,20-53,-9,3.65
Mount St. Mary's,54-22,7.28,36-45,0,3.64
Georgia Southern,39-36,-0.01,22-56,-7.28,3.64
Louisville,66-14,12.53,50-24,5.26,3.64
Bowling Green,38-29,0.96,19-49,-6.28,3.62
Akron,58-11,10.23,44-25,3,3.62
Little Rock,46-26,3.53,36-42,-3.69,3.61
SMU,30-37,0.58,16-51,-6.64,3.61
Central Arkansas,21-46,-3.88,9-56,-11.09,3.61
UNLV,64-13,8.21,32-35,1.03,3.59
Southern Illinois,44-29,1.7,23-53,-5.47,3.59
Virginia,46-24,4.5,24-42,-2.67,3.59
Boise St.,43-23,4.86,26-45,-2.31,3.59
Towson,33-40,-1.07,21-53,-8.23,3.58
Richmond,46-22,3.96,28-38,-3.2,3.58
Long Beach St.,56-17,8.11,38-27,0.97,3.57
Youngstown St.,38-35,-0.99,12-62,-8.09,3.55
Villanova,48-25,6.14,35-37,-0.9,3.52
Mississippi Valley St.,52-25,4.42,28-42,-2.6,3.51
Alabama A&M,39-35,1.89,21-54,-5.12,3.51
Arizona,61-21,8.04,37-36,1.03,3.51
Campbell,43-31,1.99,24-49,-4.99,3.49
St. John's,40-32,-0.64,21-53,-7.59,3.48
IUPUI,41-28,3.28,27-43,-3.66,3.47
UT Arlington,47-23,4.97,30-37,-1.96,3.47
Boston University,55-17,8.9,41-27,1.99,3.46
UCF,42-23,2.31,22-47,-4.59,3.45
Western Carolina,51-25,3.21,29-51,-3.66,3.44
Kentucky,61-11,9.49,38-31,2.64,3.43
Georgia Tech,32-35,-0.09,14-55,-6.93,3.42
Lehigh,42-24,5.08,28-35,-1.75,3.42
UAB,43-25,5.25,36-30,-1.56,3.41
Central Michigan,36-30,0.03,16-54,-6.76,3.4
St. Bonaventure,34-34,0.4,21-46,-6.31,3.36
Lipscomb,50-26,5.33,33-45,-1.37,3.35
La Salle,30-34,1.75,26-40,-4.92,3.34
Auburn,31-36,-1.03,14-55,-7.67,3.32
Hofstra,43-31,2.64,27-47,-3.99,3.32
Texas St.,33-36,-0.04,20-48,-6.66,3.31
East Carolina,29-39,-2.97,16-52,-9.57,3.3
Albany,42-26,5.21,32-37,-1.38,3.3
Bucknell,52-16,8.15,37-26,1.56,3.3
Temple,51-19,7.4,34-30,0.83,3.29
Alcorn St.,32-41,-1.79,18-56,-8.34,3.28
Northern Illinois,27-40,-2.52,12-57,-9.06,3.27
Colgate,27-35,-0.58,18-45,-7.11,3.27
Idaho,31-35,-0.15,23-46,-6.67,3.26
Oregon,45-31,2.28,31-46,-4.23,3.26
Wagner,50-26,4.34,35-41,-2.16,3.25
Troy,38-36,0.73,25-49,-5.76,3.25
Holy Cross,44-21,6.03,28-33,-0.46,3.25
McNeese St.,42-28,2.14,25-45,-4.34,3.24
Florida Atlantic,41-32,1.6,24-47,-4.83,3.22
Vanderbilt,50-22,4.53,31-40,-1.86,3.2
Texas Southern,56-23,7.49,37-35,1.11,3.19
Siena,58-22,5.79,38-38,-0.54,3.17
Niagara,45-29,3.77,34-43,-2.55,3.16
UC Santa Barbara,49-17,6.33,35-31,0.02,3.16
George Mason,56-22,8.24,37-34,2,3.12
UC Irvine,43-20,3.78,25-47,-2.43,3.11
Drexel,50-26,5.17,36-38,-1.03,3.1
Mississippi St.,42-28,0.66,22-46,-5.54,3.1
Fordham,17-46,-8.29,10-55,-14.46,3.09
Gardner Webb,38-32,2.26,26-47,-3.9,3.08
Air Force,27-37,-3.25,14-54,-9.38,3.07
Presbyterian,20-31,-2.45,11-44,-8.58,3.07
Tennessee St.,44-28,1.94,26-50,-4.17,3.06
Canisius,34-40,-0.05,21-55,-6.13,3.04
Miami OH,44-24,3.04,24-45,-3.04,3.04
Valparaiso,53-24,4.88,35-37,-1.19,3.04
Milwaukee,49-28,1.44,29-46,-4.61,3.03
Seton Hall,35-38,-0.11,20-55,-6.16,3.03
Elon,42-35,1.23,27-48,-4.79,3.01
Northwestern St.,43-26,3.86,32-37,-2.16,3.01
Wisconsin,62-14,9.42,43-31,3.41,3.01
UTSA,31-33,0,26-46,-6,3
James Madison,34-39,-0.26,23-52,-6.25,3
FIU,31-38,-0.38,21-54,-6.37,3
North Texas,50-28,4.91,33-41,-1.07,2.99
UC Riverside,26-38,-2.94,14-54,-8.9,2.98
Cal Poly,39-29,2.94,28-39,-3.01,2.98
Louisiana Monroe,26-50,-4.11,16-55,-10.04,2.97
Davidson,69-12,15.38,62-12,9.47,2.96
Rhode Island,36-29,2.51,24-43,-3.4,2.96
Oregon St.,30-44,-3.81,16-62,-9.71,2.95
Princeton,41-16,6.42,24-32,0.52,2.95
Southern,45-29,4.27,31-41,-1.61,2.94
Austin Peay,54-21,5.65,37-36,-0.22,2.94
Georgetown,55-21,6.36,37-36,0.53,2.92
Navy,24-36,-2.3,15-48,-8.11,2.91
LIU Brooklyn,55-24,5.34,38-37,-0.45,2.9
Ball St.,33-36,-0.28,18-49,-6.07,2.9
Maryland Eastern Shore,22-44,-5.24,10-62,-11.01,2.89
North Florida,30-44,-2.76,26-52,-8.5,2.87
Stephen F. Austin,58-11,10.96,46-22,5.24,2.86
Monmouth,32-42,-1.84,16-58,-7.54,2.85
Florida A&M,42-29,0.45,23-51,-5.24,2.85
Tennessee Tech,47-28,2.77,31-46,-2.91,2.84
Pacific,45-26,4.58,29-36,-1.09,2.84
Samford,40-37,0.26,26-51,-5.39,2.83
San Francisco,34-29,1.56,29-35,-4.08,2.82
Jacksonville St.,32-40,-0.54,16-56,-6.17,2.82
USC,41-30,1.18,21-56,-4.45,2.82
South Florida,28-45,-3.79,14-61,-9.37,2.79
Coastal Carolina,54-24,5.81,33-34,0.25,2.78
Liberty,44-26,3.66,30-43,-1.84,2.75
North Carolina St.,38-31,0.13,22-51,-5.37,2.75
VMI,39-31,2.26,33-42,-3.23,2.75
Northwestern,27-46,-4.16,18-57,-9.59,2.72
Pittsburgh,53-21,7.7,42-32,2.3,2.7
Binghamton,27-38,-1.68,20-50,-7.07,2.7
Nevada,46-21,5.54,37-30,0.21,2.67
Cornell,36-18,5.54,30-27,0.26,2.64
Eastern Kentucky,52-22,4.62,34-43,-0.65,2.64
Illinois,42-29,2.27,25-51,-3,2.64
Western Illinois,33-37,-2.04,20-49,-7.29,2.63
Loyola Chicago,26-43,-1.38,19-60,-6.61,2.62
Saint Peter's,32-40,-1.42,24-54,-6.6,2.59
UMKC,29-39,-3.07,17-53,-8.24,2.59
Cal St. Northridge,36-32,2.07,23-41,-3.09,2.58
Pepperdine,23-36,-5.88,14-51,-11.02,2.57
Alabama St.,55-18,6.9,40-36,1.79,2.56
Iona,55-27,6.89,35-38,1.79,2.55
Oakland,59-14,7.89,40-28,2.84,2.53
College of Charleston,57-20,6.32,39-36,1.28,2.52
Eastern Illinois,33-38,-1.25,20-52,-6.29,2.52
Arkansas Pine Bluff,49-22,3.8,34-40,-1.23,2.52
California,47-30,3.36,34-38,-1.62,2.49
Loyola Marymount,22-39,-5.23,15-51,-10.21,2.49
Sam Houston St.,47-23,7.46,44-26,2.5,2.48
Northeastern,47-26,3.95,35-40,-0.99,2.47
Penn,33-23,3.29,28-27,-1.64,2.47
UNC Greensboro,38-38,1.07,27-50,-3.82,2.45
William & Mary,38-36,0.36,28-49,-4.51,2.44
The Citadel,23-49,-3.56,22-56,-8.4,2.42
Oral Roberts,63-12,10.15,47-25,5.33,2.41
Rice,18-48,-5.52,11-52,-10.3,2.39
Yale,38-18,3.27,28-28,-1.5,2.39
Duquesne,29-35,-0.09,22-46,-4.81,2.36
Dartmouth,18-38,-5.18,10-45,-9.89,2.36
Rider,49-26,3.44,39-38,-1.22,2.33
Radford,35-36,0.15,26-42,-4.5,2.33
Bethune Cookman,41-32,2.05,32-41,-2.59,2.32
DePaul,16-54,-7.54,10-67,-12.17,2.32
Manhattan,41-34,1.67,28-49,-2.95,2.31
Santa Clara,28-33,0.75,24-41,-3.85,2.3
Central Connecticut,49-24,3.67,35-42,-0.91,2.29
Syracuse,57-20,7.48,46-27,2.92,2.28
Wofford,51-27,5.1,39-36,0.55,2.28
Detroit,37-37,2.16,27-48,-2.35,2.26
Fairfield,51-26,4.03,35-40,-0.43,2.23
South Carolina,28-38,-3.58,15-57,-8.04,2.23
Texas A&M Corpus Chris,36-30,3.11,33-34,-1.31,2.21
South Alabama,47-29,2.54,34-37,-1.79,2.17
Saint Mary's,53-12,10.54,44-21,6.23,2.16
Vermont,59-15,11.91,49-16,7.69,2.11
Harvard,39-16,5.82,31-25,1.61,2.11
Western Kentucky,53-21,6.51,47-31,2.31,2.1
Stony Brook,50-21,6.56,34-31,2.4,2.08
Brown,27-29,0.07,18-38,-4.07,2.07
New Hampshire,30-34,-2.05,18-50,-6.16,2.06
Grambling St.,24-47,-5.7,19-58,-9.74,2.02
Delaware St.,42-26,4.47,36-35,0.48,2
Quinnipiac,56-24,5.03,43-32,1.11,1.96
Army,28-29,-1.4,22-45,-5.12,1.86
Coppin St.,36-35,1.66,27-43,-2.06,1.86
San Diego,30-36,-1.47,23-40,-5.13,1.83
Jackson St.,52-24,4.74,37-35,1.18,1.78
Loyola Marymount,46-32,2.21,34-39,-1.14,1.68
Morgan St.,54-18,8.54,45-26,5.2,1.67
Robert Morris,64-18,8.09,55-22,4.83,1.63
Prairie View A&M,41-32,0.71,31-48,-2.52,1.62
Columbia,29-27,-0.7,16-39,-3.91,1.61
Southeast Missouri St.,31-42,-2.15,22-53,-5.35,1.6
Cal St. Fullerton,35-29,1.39,31-36,-1.66,1.53
Maine,26-37,-1.54,23-45,-4.49,1.48
Hampton,45-27,5.03,42-27,2.1,1.47
Murray St.,63-16,9.47,50-22,6.6,1.44
Sacred Heart,41-36,2.77,33-40,-0.05,1.41
Bryant,19-31,-4.6,16-35,-7.02,1.21
UMBC,28-36,-5.25,20-46,-7.5,1.13
Fairleigh Dickinson,22-49,-6.32,20-53,-6.96,0.32
