rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,San Diego St.,MWC,27-6,112.9921123,39,90.62752159,6,0.926657303,11,27.78078956,6.21921044,15,3,15-3,0.694350485,0.636449239,0.723548536,0.696872117,0.636449239,0.723548536,0.736404128,0.752080777,110.2597231,100.5551766,110.2610094,100.5020627,116.2188077,92.35579133,129.8451505,108.8298737,0.883952349,9,0.028933462,1282,1147,1158.95,1.106173692,0.989688943,0,0.833333333,6.50938992,10,121
12,Kansas,B12,27-7,113.7499193,32,92.39140466,11,0.916187323,12,27.9405652,7.059434799,13,5,13-5,0.7861372,0.642743171,0.869941276,0.775348982,0.642743171,0.869941276,0.624265626,0.737492153,111.259755,97.28801009,111.0294603,97.55330781,113.4619216,94.16580508,115.5767301,93.35953552,0.920924954,23,0.141141052,1320,1275,1264.25,1.044097291,1.008503065,0,0.722222222,10.46108809,2,3
13,Marquette,BE,28-6,119.0525846,9,97.15877328,44,0.911896662,13,28.82033969,6.179660306,17,3,17-3,0.675354647,0.513419047,0.737662443,0.675884208,0.513419047,0.737662443,0.715055491,0.811981256,108.9196138,100.590719,108.9604419,100.652951,119.9898565,98.63512297,129.1679215,100.0476668,0.949686818,13,0.089389119,1607,1458,1399.8,1.148021146,1.041577368,0,0.85,7.464768242,8,23
14,Baylor,B12,22-10,123.1037432,2,100.7760995,99,0.908997184,14,22.85640065,10.14359935,11,7,7-Nov,0.744632954,0.558873296,0.870758635,0.741042597,0.558873296,0.870758635,0.635327663,0.749792822,110.1095164,97.9495487,110.1359312,98.19695597,125.5741278,101.2404841,127.6152193,106.4904663,0.889051399,21,0.039785938,1361,1321,1208.9625,1.125758657,1.092672436,0,0.611111111,5.677451598,11,94
15,Creighton,BE,21-12,114.6621198,25,94.04262239,18,0.907188396,15,21.68392338,12.31607662,14,6,14-6,0.70770089,0.628812529,0.738143824,0.710967109,0.628812529,0.738143824,0.69336748,0.732367598,110.2830751,100.162002,110.3946176,100.1589061,114.5770066,91.79936637,118.4493097,101.7821609,0.851191626,13,-0.071491638,1524,1343,1384.7625,1.100549733,0.969841399,0,0.7,1.878675138,33,322
16,Memphis,Amer,26-8,115.551296,22,95.3085229,31,0.901574797,16,26.60229349,8.397706509,13,5,13-5,0.675608784,0.641121427,0.67787022,0.680823575,0.641121427,0.67787022,0.719716701,0.735534067,108.6972702,100.3638243,108.8143401,100.2521083,114.3045167,98.40194975,135.1994824,105.2707926,0.946721711,8,0.038719846,1465,1368,1337.3375,1.095460196,1.022928019,0,0.722222222,5.110037269,12,97
17,Texas A&M,SEC,25-9,115.0631244,24,95.04817196,28,0.900035229,17,25.64884793,9.351152065,15,3,15-3,0.662228994,0.475146658,0.762320094,0.667014422,0.475146658,0.762320094,0.718537233,0.851144211,108.5070936,100.365009,108.7466284,100.4075292,115.9000248,90.58553903,117.2743359,98.78092734,0.87798988,13,0.014666913,1289,1141,1186.6875,1.086216885,0.961499974,0,0.833333333,4.117989412,18,146
18,Arkansas,SEC,20-13,112.3696078,49,93.28188429,13,0.894817912,18,20.64423768,13.35576232,8,10,10-Aug,0.708295611,0.601426277,0.765087155,0.71171332,0.601426277,0.765087155,0.685554354,0.784468354,109.9638152,99.34718423,109.9668781,99.25500537,111.1031938,94.76185841,115.5848945,96.8465635,0.88433008,15,-0.071400531,1302,1274,1247.225,1.043917497,1.021467658,0,0.444444444,0.882412178,45,321
19,West Virginia,B12,19-14,117.4088288,13,97.57039183,50,0.893643689,19,19.57259173,14.42740827,7,11,11-Jul,0.752565082,0.569421287,0.872499745,0.755798001,0.569421287,0.872499745,0.640026931,0.790393751,110.430648,97.97186885,110.512243,97.92857067,115.8242049,97.71902001,120.6684352,104.9498929,0.83271338,19,-0.053133798,1323,1332,1264.2125,1.04650128,1.053620337,0,0.388888889,1.828358742,34,295
20,Iowa St.,B12,19-13,109.7759317,87,91.58845503,8,0.889246246,20,19,13,9,9,9-Sep,0.734077277,0.49594462,0.872997384,0.734077277,0.49594462,0.872997384,0.630401254,0.791694486,111.4589244,99.85738556,111.4589244,99.85738556,112.0668986,89.89809701,115.424323,97.12796819,0.879185112,21,-0.015570007,1213,1161,1186.925,1.021968532,0.978157845,0,0.5,2.64733689,27,201
21,Duke,ACC,26-8,112.8140911,41,94.30748468,22,0.88701211,21,26.68505467,8.314945331,14,6,14-6,0.65141203,0.552917622,0.681592632,0.655172866,0.552917622,0.681592632,0.746969823,0.778740117,109.5623767,102.2829,109.6757323,102.2616915,109.65196,95.60812211,104.619398,91.97118286,0.814846929,11,0.038339107,1423,1333,1321.65,1.076684447,1.00858775,0,0.7,4.255119359,17,98
22,Xavier,BE,25-9,119.1848924,8,99.70198126,82,0.886214129,22,25.81777962,9.182220377,15,5,15-5,0.692761002,0.580177779,0.740282404,0.691094369,0.580177779,0.740282404,0.70234856,0.764787973,109.7277191,100.0934035,109.6324698,100.1311405,120.4632709,99.30244277,137.3877635,109.9956129,0.928056973,15,0.061193258,1631,1511,1434.0375,1.137348221,1.053668401,0,0.75,5.081299284,13,54
23,Auburn,SEC,20-12,113.0884304,38,94.81272084,27,0.883609541,23,20.59732117,12.40267883,10,8,8-Oct,0.70382669,0.601045322,0.767447054,0.707848484,0.601045322,0.767447054,0.688586227,0.772131657,109.318178,99.22774101,109.661195,99.39266249,114.0411095,95.00541803,113.3334312,97.19216436,0.854072619,13,-0.036955117,1293,1245,1226.9625,1.053821938,1.014700938,0,0.555555556,1.47872847,37,258
24,Kansas St.,B12,23-9,111.5875809,58,93.71584411,15,0.881554999,24,23.76788584,9.23211416,11,7,7-Nov,0.706647917,0.462004394,0.873866684,0.706212698,0.462004394,0.873866684,0.688070069,0.895082856,108.8177619,98.72041711,108.7199078,98.71071553,114.4074468,94.09722341,117.7755396,98.48423394,0.886669856,16,0.066620066,1384,1349,1322.3125,1.046651227,1.020182446,0,0.611111111,4.724958034,15,45
25,Utah St.,MWC,26-8,117.1490299,14,98.47399985,63,0.880484349,25,26.63748347,8.362516532,13,5,13-5,0.672941112,0.56503961,0.718874272,0.676779963,0.56503961,0.718874272,0.760910439,0.86073564,108.6522401,100.2243942,108.9414752,100.3533415,117.1839184,99.63109907,110.393445,102.0737708,0.711171818,6,0.033646689,1345,1241,1199.225,1.121557673,1.034834998,0,0.722222222,3.861561351,22,114
26,TCU,B12,21-12,112.2540378,51,94.62224695,25,0.87707592,26,21,12,9,9,9-Sep,0.68972172,0.400722277,0.874372304,0.68972172,0.400722277,0.874372304,0.668465295,0.878403526,108.7432457,99.38143018,108.7432457,99.38143018,113.3319263,93.93309388,117.220278,99.23610117,0.871620078,19,0.007697899,1319,1292,1274.2,1.035159316,1.01396955,0,0.5,2.62571569,28,155
27,Kentucky,SEC,21-11,116.7917359,17,99.25346806,75,0.866600268,27,21.61186099,11.38813901,12,6,6-Dec,0.671025185,0.541594785,0.759243469,0.675076667,0.541594785,0.759243469,0.699373459,0.773612232,109.0250736,100.4336681,109.227589,100.4902945,118.319784,101.2211458,115.3345459,96.62509864,0.884472459,14,0.008132842,1309,1249,1182.475,1.107000148,1.056259118,0,0.666666667,1.9540531,32,154
28,Maryland,B10,21-12,113.2048784,36,96.49973068,39,0.862484317,28,21.42740827,12.57259173,11,9,9-Nov,0.659420948,0.450862086,0.77671857,0.666309853,0.450862086,0.77671857,0.714723282,0.825369447,108.7879594,101.0367015,109.0415144,100.9347513,112.7351742,96.90005303,105.5475843,100.8380825,0.62829907,12,-0.025125336,1349,1286,1260.9125,1.069860121,1.019896305,0,0.55,0.791532858,47,228
29,Michigan St.,B10,19-12,112.9754434,40,96.4711016,38,0.860104754,29,19.55535745,12.44464255,11,8,8-Nov,0.756437107,0.629632359,0.82668431,0.758771971,0.629632359,0.82668431,0.662691896,0.742748308,111.9456566,99.7017077,111.967072,99.65023289,113.8324855,95.13668058,122.6115107,103.6170883,0.873875062,14,0.023331953,1326,1284,1245.95,1.064248164,1.030538946,0,0.578947368,2.372929806,29,134
30,Florida Atlantic,CUSA,31-3,112.7947167,42,96.45376726,37,0.858126484,30,31.39770651,3.602293491,18,2,18-2,0.486791552,0.368955886,0.53181531,0.498642502,0.368955886,0.53181531,0.853159426,0.902884598,105.1415328,104.3596179,105.4569802,104.0853423,112.358696,97.70808664,101.9323752,91.97398748,0.765351013,2,0.093217494,1566,1341,1383.1625,1.132188011,0.96951732,0,0.9,4.292138711,16,20
31,Boise St.,MWC,24-9,110.3023552,75,94.35528444,23,0.857638978,31,24.51929788,9.480702118,13,5,13-5,0.652710525,0.50871262,0.737225111,0.658452767,0.50871262,0.737225111,0.745126805,0.83065722,108.9870463,101.2625964,108.9769098,101.0294957,112.7239481,95.18450944,116.9501504,98.4906789,0.878204648,8,0.04484601,1317,1217,1213.5,1.085290482,1.002884219,0,0.722222222,2.928103161,26,84
32,Virginia,ACC,25-7,110.5469739,70,94.63597419,26,0.856575391,32,25.70173911,7.298260886,15,5,15-5,0.627675147,0.548194587,0.631330168,0.630393704,0.548194587,0.631330168,0.764264473,0.762932904,108.1123517,102.2398014,108.2853493,102.3223801,107.590639,93.87176982,127.2860627,110.1797931,0.84020045,9,0.082826156,1335,1233,1257.2,1.061883551,0.980750875,0,0.75,3.952418257,20,29
33,Indiana,B10,22-11,113.5949612,34,97.40056491,46,0.854306148,33,22.64335453,11.35664547,12,8,8-Dec,0.704868262,0.485200778,0.811562039,0.70662911,0.485200778,0.811562039,0.681321346,0.785975056,110.003192,100.146817,109.9369136,100.0616719,113.0321929,97.1744408,117.0199338,101.4391492,0.837967135,16,0.061978654,1421,1401,1345.3375,1.056240534,1.041374376,0,0.6,3.338634125,24,52
34,Oklahoma St.,B12,18-15,107.7437485,117,92.60488763,12,0.850846853,34,18,15,8,10,10-Aug,0.744497366,0.540584702,0.877324264,0.744497366,0.540584702,0.877324264,0.649462199,0.828645852,110.3734349,98.14696223,110.3734349,98.14696223,108.3538085,94.15839945,109.6517581,96.25056986,0.817436933,19,-0.021323713,1213,1273,1233.75,0.983181358,1.031813576,0,0.444444444,0.459773283,51,215
35,Northwestern,B10,21-11,108.6525414,104,93.57027334,14,0.847946757,35,21.48070212,11.51929788,12,8,8-Dec,0.682304727,0.450826679,0.80224694,0.687617887,0.450826679,0.80224694,0.720019151,0.878990124,108.9740522,100.4860146,109.0143038,100.3002349,112.1243306,95.70501032,115.9410849,97.38838791,0.881353957,12,0.016025585,1352,1327,1293.3375,1.045357457,1.026027622,0,0.6,1.499432013,36,143
36,Rutgers,B10,19-14,104.9124913,161,90.68051772,7,0.84244272,36,19,14,10,10,10-Oct,0.664255606,0.403966784,0.785753217,0.664255606,0.403966784,0.785753217,0.721559309,0.88907365,109.3338824,101.751131,109.3338824,101.751131,104.6212612,91.44358572,109.4476337,92.28573985,0.876684447,13,-0.059093728,1292,1277,1301.425,0.992757938,0.981232111,0,0.5,-1.224714774,70,301
37,Iowa,B10,19-13,120.6377381,3,104.6701497,178,0.836545887,37,19.40267883,13.59732117,11,9,9-Nov,0.694375867,0.49434619,0.798281359,0.700110221,0.49434619,0.798281359,0.700987634,0.806484816,108.0908676,99.47372344,108.2423089,99.33248094,120.2484253,105.0603249,129.9155507,108.3786617,0.889379065,13,-0.009875793,1567,1536,1390.1875,1.127186081,1.104886931,0,0.55,0.18151706,53,189
38,Miami FL,ACC,25-7,118.356242,11,102.6923126,136,0.83652015,38,25.52176138,7.478238622,15,5,15-5,0.61195899,0.482767902,0.656676278,0.618392266,0.482767902,0.656676278,0.77271147,0.838040812,107.486219,102.6815978,107.5820885,102.5014217,116.9388447,99.60173192,126.5265262,105.4074596,0.890914217,8,0.093724135,1601,1457,1399.875,1.143673542,1.040807215,0,0.75,3.446498027,23,19
39,Cincinnati,Amer,21-12,112.3823747,48,97.75564699,54,0.832509183,39,21,12,11,7,7-Nov,0.589862586,0.441900665,0.671287425,0.589862586,0.441900665,0.671287425,0.768410216,0.865790809,107.9226291,102.1165961,107.9226291,102.1165961,114.1057052,97.14801356,129.5516492,117.5076792,0.75438238,8,-0.049356061,1371,1270,1257.6375,1.090139249,1.009829939,0,0.611111111,-1.364055441,73,287
40,North Carolina,ACC,20-13,111.2135073,60,96.76854873,43,0.832017383,40,20,13,11,9,9-Nov,0.676990707,0.647915543,0.692656102,0.676990707,0.647915543,0.692656102,0.742556379,0.735995012,109.3144353,101.2074426,109.3144353,101.2074426,107.8335572,94.75186938,125.0382385,110.0493321,0.812820901,9,-0.033489869,1458,1381,1381.625,1.05527911,0.999547634,0,0.55,-0.800771849,64,251
41,USC,P12,22-10,112.63095,44,98.05451379,59,0.831152733,41,22.44464255,10.55535745,14,6,14-6,0.670068989,0.577451447,0.715279064,0.675827649,0.577451447,0.715279064,0.72699316,0.813596256,106.9002705,98.90121254,107.0843666,98.82757281,113.8959647,98.03782604,125.018964,106.379958,0.864906561,11,0.056203612,1452,1336,1340.4125,1.083248627,0.996708103,0,0.7,2.044096731,30,61
42,Penn St.,B10,22-13,116.8908137,16,101.8532155,118,0.829718997,42,22.35115207,13.64884793,10,10,10-Oct,0.697485588,0.44279307,0.803788771,0.703111967,0.44279307,0.803788771,0.701661702,0.877439232,108.8272935,99.76909651,109.000511,99.63795971,117.7502113,102.8721872,119.9287756,106.1860301,0.802122461,15,0.031955451,1394,1394,1276.8375,1.091759915,1.091759915,0,0.5,1.33857873,39,115
43,Oregon,P12,19-14,114.4164325,27,99.81890687,84,0.827726807,43,19,14,12,8,8-Dec,0.711410918,0.660111986,0.722595781,0.711410918,0.660111986,0.722595781,0.698057917,0.756159219,108.4920958,98.36042454,108.4920958,98.36042454,115.1347291,100.4322621,122.8664255,109.3048484,0.793311966,12,-0.011601805,1426,1350,1314.5375,1.08479218,1.026977169,0,0.6,-0.264742736,58,193
44,Liberty,ASun,26-8,111.70326,56,97.55049315,49,0.826062061,44,26,8,15,3,15-3,0.418818433,0.42438919,0.405070203,0.418818433,0.42438919,0.405070203,0.879170873,0.831979061,103.6314855,105.0090592,103.6314855,105.0090592,110.0881212,93.32852471,104.4431352,102.3817679,0.557060907,3,-0.053046316,1339,1071,1171.7875,1.142698655,0.913988244,0,0.833333333,-1.772305482,77,294
45,Illinois,B10,20-12,110.0679535,81,96.21310315,36,0.824497721,45,20.35576232,12.64423768,11,9,9-Nov,0.657774023,0.430041098,0.774429884,0.664957171,0.430041098,0.774429884,0.706933337,0.807339236,108.2775838,100.9657307,108.4015846,100.7328868,109.5603677,96.51316268,113.513835,100.3594478,0.804775755,12,0.020822945,1423,1381,1362.45,1.044441998,1.013615179,0,0.55,0.649318524,49,139
46,Drake,MVC,27-7,110.6499111,68,96.73578617,42,0.824257096,46,27.47823862,7.521761378,15,5,15-5,0.471921887,0.448032864,0.470909054,0.48233898,0.448032864,0.470909054,0.8694504,0.877649524,103.8498414,104.7801393,104.2765003,104.7187326,109.3946588,96.13172413,0,0,0,0,-0.00495212,1510,1302,1375.9875,1.09739369,0.946229526,0,0.75,-0.190152229,56,178
47,Michigan,B10,17-15,112.0055742,53,97.99526003,58,0.822990256,47,17,15,11,9,9-Nov,0.696547251,0.518910463,0.786952711,0.696547251,0.518910463,0.786952711,0.712609021,0.837700272,108.8723787,99.90919151,108.8723787,99.90919151,113.6202656,94.92459015,117.0717109,99.62752046,0.86477211,14,-0.060727767,1468,1378,1370.3625,1.071249396,1.005573343,0,0.55,-2.024966038,80,303
48,North Texas,CUSA,26-7,108.8696129,97,95.48256294,32,0.818895767,48,26,7,16,4,16-4,0.510643321,0.441076712,0.535770299,0.510643321,0.441076712,0.535770299,0.844190103,0.856230659,105.6182273,103.4585423,105.6182273,103.4585423,110.015708,95.38066563,102.2364607,95.77777739,0.679279655,3,0.030553299,1308,1149,1194.725,1.094812614,0.961727594,0,0.8,0.812319017,46,117
49,North Carolina St.,ACC,23-10,114.0755215,28,100.0567435,85,0.818752338,49,23.31607662,10.68392338,12,8,8-Dec,0.616044176,0.446352,0.692983443,0.624607241,0.446352,0.692983443,0.764023993,0.863329759,108.2211567,103.0891345,108.4105967,102.8230606,112.0832679,99.77857234,122.6682613,107.5730985,0.819076031,7,0.034049975,1509,1445,1380.6625,1.092953564,1.046599006,0,0.6,0.88511279,44,111
50,Oklahoma,B12,15-17,110.1052204,79,96.62789654,41,0.817804527,50,15,17,5,13,13-May,0.766596796,0.601680156,0.8810227,0.766596796,0.601680156,0.8810227,0.633103425,0.781322493,109.8706391,97.01467598,109.8706391,97.01467598,108.679334,96.82484302,119.7215482,103.3463791,0.844414384,20,-0.029035884,1195,1307,1229.1125,0.972246235,1.063368894,0,0.277777778,-1.231995546,71,243
51,Washington St.,P12,17-16,111.5414622,59,97.92314236,55,0.817194579,51,17,16,11,9,9-Nov,0.679350235,0.598246361,0.735979663,0.679350235,0.598246361,0.735979663,0.714762092,0.781471695,108.6868665,99.91264268,108.6868665,99.91264268,111.7155546,97.19707493,117.6923982,107.0953867,0.747453561,13,-0.078906639,1343,1321,1296.275,1.036045592,1.019073885,0,0.55,-2.918206042,94,332
52,Ohio St.,B10,16-19,115.4671632,23,101.4050344,108,0.81659249,52,16,19,5,15,15-May,0.716184591,0.487565112,0.815012027,0.716184591,0.487565112,0.815012027,0.666388027,0.787612799,109.7213912,99.41923062,109.7213912,99.41923062,112.4228496,102.2794343,123.2939009,108.0093102,0.820842423,19,-0.079004573,1353,1435,1306.9875,1.035205004,1.097944701,0,0.25,-3.134519895,98,333
53,Texas Tech,B12,16-16,111.2041821,61,97.97581379,57,0.810988254,53,16,16,5,13,13-May,0.681633934,0.38819599,0.881783018,0.681633934,0.38819599,0.881783018,0.674983586,0.893153436,109.5507244,100.2833157,109.5507244,100.2833157,110.4741034,97.89789006,117.1864668,103.9346526,0.798998459,18,-0.051351154,1229,1314,1238.175,0.9925899,1.061239324,0,0.277777778,-2.142426628,82,291
54,New Mexico,MWC,22-11,115.9657435,18,102.2021456,122,0.810449699,54,22,11,8,10,10-Aug,0.625637285,0.483443979,0.717727984,0.625637285,0.483443979,0.717727984,0.772078764,0.857610798,108.1368778,101.4129537,108.1368778,101.4129537,116.7971578,103.8523757,114.6472443,97.99645878,0.858717582,7,0.009711537,1421,1387,1278.7,1.111284899,1.084695394,0,0.444444444,-0.219304477,57,149
55,UAB,CUSA,25-9,112.2508329,52,99.00993212,72,0.808985467,55,25,9,14,6,14-6,0.506850999,0.404264208,0.53676512,0.506850999,0.404264208,0.53676512,0.843131632,0.876464229,105.0714918,103.9426554,105.0714918,103.9426554,111.3963778,99.4569166,115.0700899,101.962604,0.800712901,5,-0.012073738,1582,1440,1437.8875,1.100225157,1.001469169,0,0.7,-0.930004116,66,194
56,Missouri,SEC,24-9,118.4862326,10,104.6086003,174,0.807300899,56,24.36251653,9.637483468,11,7,7-Nov,0.648806505,0.451282601,0.758084291,0.655620559,0.451282601,0.758084291,0.705088739,0.850500936,107.6164426,100.3795028,107.8968128,100.3234586,116.8746301,105.2683182,130.2189797,113.0049538,0.836243204,14,0.139890514,1340,1361,1232.65,1.087088792,1.104125259,0,0.611111111,3.979611011,19,4
57,Clemson,ACC,23-10,110.8782646,65,97.95071714,56,0.806220569,57,23,10,14,6,14-6,0.577565929,0.416293622,0.640255905,0.577565929,0.416293622,0.640255905,0.807243186,0.901356907,107.5944555,104.0031637,107.5944555,104.0031637,110.4855532,95.01693507,116.3976314,101.0214577,0.836075267,7,0.005965345,1511,1369,1382.3125,1.093095809,0.990369399,0,0.7,-0.48287798,60,158
58,Mississippi St.,SEC,21-12,104.1143441,177,92.04603542,9,0.80483793,58,21.59044614,12.40955386,8,10,10-Aug,0.64432477,0.455208557,0.756661198,0.647167188,0.455208557,0.756661198,0.714851141,0.851252262,108.2927089,100.795106,108.4573165,100.8876712,104.3601764,93.54389576,117.9392609,103.9790063,0.809810371,13,0.045396655,1157,1168,1180.775,0.979864919,0.989180835,0,0.444444444,0.781616821,48,82
59,Providence,BE,21-11,115.7080814,20,102.302341,123,0.804724109,59,21.38813901,11.61186099,13,7,13-7,0.623685438,0.367860164,0.748509074,0.631046494,0.367860164,0.748509074,0.721080773,0.875332504,107.7616862,101.2813145,108.0353241,101.2198646,116.6677649,99.87956798,126.2422331,111.1675358,0.811897602,13,0.050806968,1550,1469,1397.625,1.109024238,1.051068777,0,0.65,0.944525806,43,71
60,Nevada,MWC,22-10,110.2296277,77,97.53981861,48,0.803214543,60,22.52833778,10.47166222,12,6,6-Dec,0.662339963,0.551407822,0.740561143,0.666046645,0.551407822,0.740561143,0.753749797,0.827907526,109.2800568,101.061489,109.1920419,100.8764889,111.4650197,96.89938277,127.0793627,112.5355285,0.80182539,8,0.069902519,1298,1224,1211.675,1.071244352,1.01017187,0,0.666666667,1.37385491,38,38
61,VCU,A10,27-7,106.1505078,141,93.99752648,17,0.801910697,61,27.23863074,7.761369256,15,3,15-3,0.5381418,0.49797415,0.54202411,0.549284639,0.49797415,0.54202411,0.83406417,0.84793792,105.2076406,103.4455271,105.4352201,103.0784762,106.3971252,94.06910914,87.63667054,85.20257804,0.580281739,2,0.056465635,1308,1131,1220.875,1.071362752,0.926384765,0,0.833333333,1.116156217,41,60
62,Seton Hall,BE,17-15,105.9399716,148,94.10431871,19,0.796147846,62,17,15,10,10,10-Oct,0.65776364,0.501262665,0.74936809,0.65776364,0.501262665,0.74936809,0.707739495,0.778282135,109.3212529,100.3029567,109.3212529,100.3029567,106.4133653,93.77636312,112.1935185,103.8245325,0.709202466,14,-0.039802055,1372,1351,1352.5375,1.01438962,0.998863248,0,0.5,-2.285113482,85,268
63,UCF,Amer,18-14,109.5454446,92,97.52993712,47,0.791843108,63,18,14,8,10,10-Aug,0.617331042,0.532874966,0.663220235,0.617331042,0.532874966,0.663220235,0.767529963,0.848704783,107.7712051,101.9933634,107.7712051,101.9933634,110.0138186,97.90369149,122.4177781,107.7579318,0.81257829,7,-0.071532044,1303,1230,1219.9875,1.06804373,1.008207051,0,0.444444444,-3.431358705,103,323
64,Colorado,P12,17-16,105.8562204,151,94.40291513,24,0.788659284,64,17,16,8,12,12-Aug,0.677299649,0.594089892,0.710911084,0.677299649,0.594089892,0.710911084,0.721916845,0.794365234,108.0195544,99.38010704,108.0195544,99.38010704,100.9065761,91.70166045,113.2492057,96.20567475,0.867113865,11,-0.058791736,1297,1289,1360.3125,0.953457386,0.947576384,0,0.4,-3.304118297,102,300
